time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,attention_deficit
0.0,-6.24,0.09,0.33,0.47,0.11,NONE,NORMAL
0.004,11.45,0.09,0.33,0.47,0.11,NONE,NORMAL
0.008,40.95,0.09,0.33,0.47,0.11,NONE,NORMAL
0.012,58.09,0.09,0.33,0.47,0.11,NONE,NORMAL
0.016,69.73,0.09,0.33,0.47,0.11,NONE,NORMAL
0.02,83.66,0.09,0.33,0.47,0.11,NONE,NORMAL
0.023,86.42,0.09,0.33,0.47,0.11,NONE,NORMAL
0.027,98.27,0.09,0.33,0.47,0.11,NONE,NORMAL
0.031,96.71,0.09,0.33,0.47,0.11,NONE,NORMAL
0.035,92.85,0.09,0.33,0.47,0.11,NONE,NORMAL
0.039,104.92,0.09,0.33,0.47,0.11,NONE,NORMAL
0.043,81.21,0.09,0.33,0.47,0.11,NONE,NORMAL
0.047,79.06,0.09,0.33,0.47,0.11,NONE,NORMAL
0.051,59.04,0.09,0.33,0.47,0.11,NONE,NORMAL
0.055,38.77,0.09,0.33,0.47,0.11,NONE,NORMAL
0.059,41.04,0.09,0.33,0.47,0.11,NONE,NORMAL
0.062,25.83,0.09,0.33,0.47,0.11,NONE,NORMAL
0.066,-1.05,0.09,0.33,0.47,0.11,NONE,NORMAL
0.07,-1.41,0.09,0.33,0.47,0.11,NONE,NORMAL
0.074,-8.6,0.09,0.33,0.47,0.11,NONE,NORMAL
0.078,-28.84,0.09,0.33,0.47,0.11,NONE,NORMAL
0.082,-41.95,0.09,0.33,0.47,0.11,NONE,NORMAL
0.086,-37.58,0.09,0.33,0.47,0.11,NONE,NORMAL
0.09,-49.12,0.09,0.33,0.47,0.11,NONE,NORMAL
0.094,-49.98,0.09,0.33,0.47,0.11,NONE,NORMAL
0.098,-46.47,0.09,0.33,0.47,0.11,NONE,NORMAL
0.102,-46.81,0.09,0.33,0.47,0.11,NONE,NORMAL
0.105,-50.79,0.09,0.33,0.47,0.11,NONE,NORMAL
0.109,-51.57,0.09,0.33,0.47,0.11,NONE,NORMAL
0.113,-40.9,0.09,0.33,0.47,0.11,NONE,NORMAL
0.117,-39.06,0.09,0.33,0.47,0.11,NONE,NORMAL
0.121,-40.25,0.09,0.33,0.47,0.11,NONE,NORMAL
0.125,-26.11,0.09,0.33,0.47,0.11,NONE,NORMAL
0.129,-23.74,0.09,0.33,0.47,0.11,NONE,NORMAL
0.133,-13.02,0.09,0.33,0.47,0.11,NONE,NORMAL
0.137,-23.58,0.09,0.33,0.47,0.11,NONE,NORMAL
0.141,0.33,0.09,0.33,0.47,0.11,NONE,NORMAL
0.145,4.18,0.09,0.33,0.47,0.11,NONE,NORMAL
0.148,11.93,0.09,0.33,0.47,0.11,NONE,NORMAL
0.152,17.49,0.09,0.33,0.47,0.11,NONE,NORMAL
0.156,30.58,0.09,0.33,0.47,0.11,NONE,NORMAL
