time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,motor_impairment
0.0,-7.36,0.1,0.3,0.51,0.09,NONE,NORMAL
0.004,20.74,0.1,0.3,0.51,0.09,NONE,NORMAL
0.008,43.3,0.1,0.3,0.51,0.09,NONE,NORMAL
0.012,59.57,0.1,0.3,0.51,0.09,NONE,NORMAL
0.016,67.7,0.1,0.3,0.51,0.09,NONE,NORMAL
0.02,91.58,0.1,0.3,0.51,0.09,NONE,NORMAL
0.023,94.62,0.1,0.3,0.51,0.09,NONE,NORMAL
0.027,103.74,0.1,0.3,0.51,0.09,NONE,NORMAL
0.031,108.96,0.1,0.3,0.51,0.09,NONE,NORMAL
0.035,106.57,0.1,0.3,0.51,0.09,NONE,NORMAL
0.039,110.79,0.1,0.3,0.51,0.09,NONE,NORMAL
0.043,92.25,0.1,0.3,0.51,0.09,NONE,NORMAL
0.047,86.44,0.1,0.3,0.51,0.09,NONE,NORMAL
0.051,64.03,0.1,0.3,0.51,0.09,NONE,NORMAL
0.055,63.94,0.1,0.3,0.51,0.09,NONE,NORMAL
0.059,40.03,0.1,0.3,0.51,0.09,NONE,NORMAL
0.062,27.0,0.1,0.3,0.51,0.09,NONE,NORMAL
0.066,10.57,0.1,0.3,0.51,0.09,NONE,NORMAL
0.07,-6.07,0.1,0.3,0.51,0.09,NONE,NORMAL
0.074,-28.16,0.1,0.3,0.51,0.09,NONE,NORMAL
0.078,-29.2,0.1,0.3,0.51,0.09,NONE,NORMAL
0.082,-35.79,0.1,0.3,0.51,0.09,NONE,NORMAL
0.086,-50.87,0.1,0.3,0.51,0.09,NONE,NORMAL
0.09,-49.44,0.1,0.3,0.51,0.09,NONE,NORMAL
0.094,-54.94,0.1,0.3,0.51,0.09,NONE,NORMAL
0.098,-56.58,0.1,0.3,0.51,0.09,NONE,NORMAL
0.102,-63.0,0.1,0.3,0.51,0.09,NONE,NORMAL
0.105,-55.07,0.1,0.3,0.51,0.09,NONE,NORMAL
0.109,-55.1,0.1,0.3,0.51,0.09,NONE,NORMAL
0.113,-35.16,0.1,0.3,0.51,0.09,NONE,NORMAL
0.117,-48.32,0.1,0.3,0.51,0.09,NONE,NORMAL
0.121,-32.96,0.1,0.3,0.51,0.09,NONE,NORMAL
0.125,-35.0,0.1,0.3,0.51,0.09,NONE,NORMAL
0.129,-18.31,0.1,0.3,0.51,0.09,NONE,NORMAL
0.133,-11.19,0.1,0.3,0.51,0.09,NONE,NORMAL
0.137,-0.96,0.1,0.3,0.51,0.09,NONE,NORMAL
0.141,-1.94,0.1,0.3,0.51,0.09,NONE,NORMAL
0.145,16.19,0.1,0.3,0.51,0.09,NONE,NORMAL
0.148,22.02,0.1,0.3,0.51,0.09,NONE,NORMAL
0.152,23.39,0.1,0.3,0.51,0.09,NONE,NORMAL
0.156,21.48,0.1,0.3,0.51,0.09,NONE,NORMAL
0.16,36.84,0.1,0.3,0.51,0.09,NONE,NORMAL
0.164,39.93,0.1,0.3,0.51,0.09,NONE,NORMAL
0.168,39.75,0.1,0.3,0.51,0.09,NONE,NORMAL
0.172,38.56,0.1,0.3,0.51,0.09,NONE,NORMAL
0.176,33.32,0.1,0.3,0.51,0.09,NONE,NORMAL
