time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,visual_impairment,motor_impairment,attention_deficit
0.0,1.87,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.004,14.01,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.008,41.43,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.012,48.71,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.016,58.78,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.02,72.06,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.023,80.54,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.027,89.52,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.031,98.02,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.035,89.31,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.039,86.73,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.043,86.8,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.047,81.78,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.051,63.33,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.055,52.16,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.059,56.97,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.062,37.56,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.066,19.79,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.07,15.99,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.074,18.63,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.078,2.19,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.082,-13.03,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.086,-22.75,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.09,-30.65,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.094,-32.75,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.098,-35.58,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.102,-48.59,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.105,-39.21,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.109,-63.02,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.113,-46.81,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.117,-49.19,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.121,-56.15,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.125,-48.79,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.129,-41.84,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.133,-39.6,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.137,-34.84,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.141,-40.06,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.145,-33.34,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.148,-17.16,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.152,-2.54,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.156,-1.36,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.16,3.02,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.164,13.12,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
0.168,20.49,0.14,0.48,0.29,0.1,NONE,NORMAL,BORDERLINE,NORMAL
