time,amplitude,theta_power,alpha_power,beta_power,gamma_power,command,visual_impairment
0.0,-8.99,0.14,0.5,0.27,0.09,NONE,NORMAL
0.004,12.03,0.14,0.5,0.27,0.09,NONE,NORMAL
0.008,37.86,0.14,0.5,0.27,0.09,NONE,NORMAL
0.012,60.47,0.14,0.5,0.27,0.09,NONE,NORMAL
0.016,69.64,0.14,0.5,0.27,0.09,NONE,NORMAL
0.02,85.97,0.14,0.5,0.27,0.09,NONE,NORMAL
0.023,89.62,0.14,0.5,0.27,0.09,NONE,NORMAL
0.027,90.96,0.14,0.5,0.27,0.09,NONE,NORMAL
0.031,94.33,0.14,0.5,0.27,0.09,NONE,NORMAL
0.035,103.44,0.14,0.5,0.27,0.09,NONE,NORMAL
0.039,99.1,0.14,0.5,0.27,0.09,NONE,NORMAL
0.043,87.92,0.14,0.5,0.27,0.09,NONE,NORMAL
0.047,84.0,0.14,0.5,0.27,0.09,NONE,NORMAL
0.051,74.57,0.14,0.5,0.27,0.09,NONE,NORMAL
0.055,66.21,0.14,0.5,0.27,0.09,NONE,NORMAL
0.059,61.91,0.14,0.5,0.27,0.09,NONE,NORMAL
0.062,42.82,0.14,0.5,0.27,0.09,NONE,NORMAL
0.066,38.52,0.14,0.5,0.27,0.09,NONE,NORMAL
0.07,28.76,0.14,0.5,0.27,0.09,NONE,NORMAL
0.074,4.32,0.14,0.5,0.27,0.09,NONE,NORMAL
0.078,-4.18,0.14,0.5,0.27,0.09,NONE,NORMAL
0.082,-12.54,0.14,0.5,0.27,0.09,NONE,NORMAL
0.086,-17.64,0.14,0.5,0.27,0.09,NONE,NORMAL
0.09,-28.23,0.14,0.5,0.27,0.09,NONE,NORMAL
0.094,-37.92,0.14,0.5,0.27,0.09,NONE,NORMAL
0.098,-57.95,0.14,0.5,0.27,0.09,NONE,NORMAL
0.102,-38.48,0.14,0.5,0.27,0.09,NONE,NORMAL
0.105,-51.47,0.14,0.5,0.27,0.09,NONE,NORMAL
0.109,-49.71,0.14,0.5,0.27,0.09,NONE,NORMAL
0.113,-51.31,0.14,0.5,0.27,0.09,NONE,NORMAL
0.117,-55.56,0.14,0.5,0.27,0.09,NONE,NORMAL
0.121,-54.2,0.14,0.5,0.27,0.09,NONE,NORMAL
0.125,-51.55,0.14,0.5,0.27,0.09,NONE,NORMAL
0.129,-43.89,0.14,0.5,0.27,0.09,NONE,NORMAL
0.133,-41.12,0.14,0.5,0.27,0.09,NONE,NORMAL
0.137,-46.92,0.14,0.5,0.27,0.09,NONE,NORMAL
0.141,-35.24,0.14,0.5,0.27,0.09,NONE,NORMAL
0.145,-19.43,0.14,0.5,0.27,0.09,NONE,NORMAL
