time,amplitude,alpha_power,beta_power,command,led_state
0.0000,8.3000,0.0000,1.0000,RELAX,0
0.0312,-137.2213,0.0000,1.0000,RELAX,0
0.0625,207.3000,0.0000,1.0000,RELAX,0
0.0938,-138.5214,0.0000,1.0000,RELAX,0
0.1250,1.1001,0.0000,1.0000,RELAX,0
0.1562,143.9214,0.0000,1.0000,RELAX,0
0.1875,-191.1000,0.0000,1.0000,RELAX,0
0.2188,145.6214,0.0000,1.0000,RELAX,0
0.2500,0.4999,0.0000,1.0000,RELAX,0
0.2812,-138.8215,0.0000,1.0000,RELAX,0
0.3125,208.8000,0.0000,1.0000,RELAX,0
0.3438,-136.2213,0.0000,1.0000,RELAX,0
0.3750,2.6000,0.0000,1.0000,RELAX,0
0.4062,150.4213,0.0000,1.0000,RELAX,0
0.4375,-196.8000,0.0000,1.0000,RELAX,0
0.4688,151.1215,0.0000,1.0000,RELAX,0
0.5000,0.8998,0.0000,1.0000,RELAX,0
0.5312,-136.7212,0.0000,1.0000,RELAX,0
0.5625,206.7000,0.0000,1.0000,RELAX,0
0.5938,-138.7216,0.0000,1.0000,RELAX,0
0.6250,0.1997,0.0000,1.0000,RELAX,0
0.6562,148.2210,0.0000,1.0000,RELAX,0
0.6875,-195.5000,0.0000,1.0000,RELAX,0
0.7188,145.1218,0.0000,1.0000,RELAX,0
0.7500,6.5000,0.0000,1.0000,RELAX,0
0.7812,-137.7219,0.0000,1.0000,RELAX,0
0.8125,203.3000,0.0000,1.0000,RELAX,0
0.8438,-141.4209,0.0000,1.0000,RELAX,0
0.8750,3.9002,0.0000,1.0000,RELAX,0
0.9062,149.7217,0.0000,1.0000,RELAX,0
0.9375,-196.1000,0.0000,1.0000,RELAX,0
0.9688,151.3211,0.0000,1.0000,RELAX,0
1.0000,0.3000,0.0000,1.0000,FOCUS,1
1.0312,-136.9213,0.0000,1.0000,FOCUS,1
1.0625,208.7000,0.0000,1.0000,FOCUS,1
1.0938,-138.4214,0.0000,1.0000,FOCUS,1
1.1250,5.4001,0.0000,1.0000,FOCUS,1
1.1562,148.9214,0.0000,1.0000,FOCUS,1
1.1875,-192.2000,0.0000,1.0000,FOCUS,1
1.2188,141.5214,0.0000,1.0000,FOCUS,1
1.2500,3.0999,0.0000,1.0000,FOCUS,1
1.2812,-141.2215,0.0000,1.0000,FOCUS,1
1.3125,205.4000,0.0000,1.0000,FOCUS,1
1.3438,-138.5213,0.0000,1.0000,FOCUS,1
1.3750,8.2000,0.0000,1.0000,FOCUS,1
1.4062,144.7213,0.0000,1.0000,FOCUS,1
1.4375,-192.6000,0.0000,1.0000,FOCUS,1
1.4688,142.7215,0.0000,1.0000,FOCUS,1
1.5000,7.0998,0.0000,1.0000,FOCUS,1
1.5312,-132.6212,0.0000,1.0000,FOCUS,1
1.5625,200.3000,0.0000,1.0000,FOCUS,1
1.5938,-138.8216,0.0000,1.0000,FOCUS,1
1.6250,3.8997,0.0000,1.0000,FOCUS,1
1.6562,144.5210,0.0000,1.0000,FOCUS,1
1.6875,-197.7000,0.0000,1.0000,FOCUS,1
1.7188,150.0218,0.0000,1.0000,FOCUS,1
1.7500,3.7000,0.0000,1.0000,FOCUS,1
1.7812,-134.3219,0.0000,1.0000,FOCUS,1
1.8125,205.7000,0.0000,1.0000,FOCUS,1
1.8438,-131.9209,0.0000,1.0000,FOCUS,1
1.8750,9.3002,0.0000,1.0000,FOCUS,1
1.9062,144.1217,0.0000,1.0000,FOCUS,1
1.9375,-192.6000,0.0000,1.0000,FOCUS,1
1.9688,150.7211,0.0000,1.0000,FOCUS,1
2.0000,8.4000,0.0000,1.0000,FOCUS,1
2.0312,-138.2213,0.0000,1.0000,FOCUS,1
2.0625,202.1000,0.0000,1.0000,FOCUS,1
2.0938,-134.8214,0.0000,1.0000,FOCUS,1
2.1250,6.1001,0.0000,1.0000,FOCUS,1
2.1562,150.7214,0.0000,1.0000,FOCUS,1
2.1875,-194.6000,0.0000,1.0000,FOCUS,1
2.2188,146.2214,0.0000,1.0000,FOCUS,1
2.2500,8.7999,0.0000,1.0000,FOCUS,1
2.2812,-138.0215,0.0000,1.0000,FOCUS,1
2.3125,201.3000,0.0000,1.0000,FOCUS,1
2.3438,-133.1213,0.0000,1.0000,FOCUS,1
2.3750,4.2000,0.0000,1.0000,FOCUS,1
2.4062,143.3213,0.0000,1.0000,FOCUS,1
2.4375,-198.9000,0.0000,1.0000,FOCUS,1
2.4688,147.1215,0.0000,1.0000,FOCUS,1
2.5000,4.1998,0.0000,1.0000,FOCUS,1
2.5312,-135.3212,0.0000,1.0000,FOCUS,1
2.5625,200.7000,0.0000,1.0000,FOCUS,1
2.5938,-134.2216,0.0000,1.0000,FOCUS,1
2.6250,8.7997,0.0000,1.0000,FOCUS,1
2.6562,149.3210,0.0000,1.0000,FOCUS,1
2.6875,-192.7000,0.0000,1.0000,FOCUS,1
2.7188,145.3218,0.0000,1.0000,FOCUS,1
2.7500,8.8000,0.0000,1.0000,FOCUS,1
2.7812,-140.5219,0.0000,1.0000,FOCUS,1
2.8125,209.0000,0.0000,1.0000,FOCUS,1
2.8438,-136.7209,0.0000,1.0000,FOCUS,1
2.8750,3.1002,0.0000,1.0000,FOCUS,1
2.9062,151.0217,0.0000,1.0000,FOCUS,1
2.9375,-197.9000,0.0000,1.0000,FOCUS,1
2.9688,147.7211,0.0000,1.0000,FOCUS,1
3.0000,8.5000,0.0001,0.9999,RELAX,0
3.0312,-135.1213,0.0001,0.9999,RELAX,0
3.0625,203.4000,0.0001,0.9999,RELAX,0
3.0938,-131.5214,0.0001,0.9999,RELAX,0
3.1250,9.2001,0.0001,0.9999,RELAX,0
3.1562,142.4214,0.0001,0.9999,RELAX,0
3.1875,-195.0000,0.0001,0.9999,RELAX,0
3.2188,149.3214,0.0001,0.9999,RELAX,0
3.2500,7.3999,0.0001,0.9999,RELAX,0
3.2812,-132.8215,0.0001,0.9999,RELAX,0
3.3125,202.8000,0.0001,0.9999,RELAX,0
3.3438,-137.4213,0.0001,0.9999,RELAX,0
3.3750,3.4000,0.0001,0.9999,RELAX,0
3.4062,146.0213,0.0001,0.9999,RELAX,0
3.4375,-196.0000,0.0001,0.9999,RELAX,0
3.4688,150.7215,0.0001,0.9999,RELAX,0
3.5000,4.7998,0.0001,0.9999,RELAX,0
3.5312,-138.8212,0.0001,0.9999,RELAX,0
3.5625,200.7000,0.0001,0.9999,RELAX,0
3.5938,-131.6216,0.0001,0.9999,RELAX,0
3.6250,0.8997,0.0001,0.9999,RELAX,0
3.6562,142.1210,0.0001,0.9999,RELAX,0
3.6875,-194.4000,0.0001,0.9999,RELAX,0
3.7188,147.0218,0.0001,0.9999,RELAX,0
3.7500,1.6000,0.0001,0.9999,RELAX,0
3.7812,-139.8219,0.0001,0.9999,RELAX,0
3.8125,202.7000,0.0001,0.9999,RELAX,0
3.8438,-136.4209,0.0001,0.9999,RELAX,0
3.8750,1.7002,0.0001,0.9999,RELAX,0
3.9062,146.7217,0.0001,0.9999,RELAX,0
3.9375,-196.0000,0.0001,0.9999,RELAX,0
3.9688,141.8211,0.0001,0.9999,RELAX,0
4.0000,3.7000,0.0000,1.0000,FOCUS,1
